Département;Altitude_Sommet;Nom_Sommet;Altitude_Préfécture;Nom_prefecture;Altitude_basse_station de ski;Altitude_haute_station de ski;Nom_station de ski;
04 – Alpes-de-Haute-Provence;3412; Aiguille de Chabeyron;608;Digne-les-Bains;1500;2503;Pra-Loup;
04 – Alpes-de-Haute-Provence;2802;Col de la Bonnette;;;;;;
05 – Hautes-Alpes;4101; Barre des Écrins;745;Gap;1200;2830;Serre Chevalier;
05 – Hautes-Alpes;2360;Col d'Izoard;;;;;;
06 – Alpes-Maritimes;3143; Cie du Gélas;10;Nice;1800;2603;Isola 2000;
06 – Alpes-Maritimes;1607;Col de Turini;;;;;;
26 – Drôme;2455; Rocher Rond peakbagger.co;125;Valence;;;;
26 – Drôme;1254;Col de Rousset;;;;;;
38 – Isère;4088; Pic Lory;214;Grenoble;1125;3330;Alpe d’Huez;
38 – Isère;2067;Col de la Croix-de-Fer;;;;;;
73 – Savoie;3855; Grande Casse;250;Chambéry;2300;3230;Val Thorens;
73 – Savoie;2642;Col du Galibier;;;;;;
74 – Haute-Savoie;4810; Mont Blanc;400;Annecy;850;2350;Megève;
74 – Haute-Savoie;1487;Col des Aravis;;;;;;
84 – Vaucluse;1909; Mont Ventoux;30;Avignon;;;;
84 – Vaucluse;627;Col de Murs;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
